page_number,content
196,"Look! There are some green steps.
It's a big slide. Wee! Wee! Wee! Wee!
Wow! It's a big dinosaur.
Yes, it's my mopping ginormous dinosaur slide.
Aha ha ha.
That is some dinosaur.
He is a Plateosaurus.
Actually, the correct name is Apatosaurus.
You are a bit of a clever-clogs, aren't you?
Yes.
All right, my little explorers. Are you ready for the next bit
of adventure?
Yes, Grampy Rabbit.
We have to find an egg.
An egg?
But eggs are little. It could be anywhere.
Leave it to me. Foxes love hunting for eggs.
Freddy Fox has a very good sense of smell.
Wow! What an egg!
It's huge!
Why is the egg so big?
It's a dinosaur egg.
Is it real?
No, it's better than real. It's pretend. Watch this!
Happy birthday! Happy birthday!
The dinosaur egg has a birthday cake inside it.
Hooray!
It is not a pretend cake, is it Grampy Rabbit?
No, the cake is very real and very tasty. Who wants some?
Me! Me!
Birthday boy first! Here you go, Freddy.
Happy birthday, Freddy.
Time for the beaten song and dance. Everyone, copy me.
To the stomp.
To the dinosaur. Stomp!
To the roar!
To the dinosaur roar!
Stomp! Stomp! Stomp!
Roar! Roar! Roar!
To the dinosaur stomp!
Stomp! Roar!
This is my best birthday ever.
To the stomp.
To the dinosaur. Stomp!
To the roar!
To the dinosaur roar!

To the dinosaur stomp!
Stomp! Roar!
17 Bedtime Story
It is night time. Daddy Pig is reading Peppa and George a
bedtime story.
And so the prince, the princess, the buggy and the frog all
lived happily ever after. The end!
The bedtime story has sent Peppa and George to sleep.
Good night, my little piggies!
George's awake.
Dinosaur! Grrr…
George, you naughty piggy! Go back to sleep.
George is not sleepy.
George! Night time is for sleeping, not playing!
I can tell you a bedtime story.
Once upon a time, there was a little pig. His name was
George Pig. And he was off to make his fortune. Soon, he
came to a forest.
Do you like the story, George?
Inside the forest was a little house. And inside the house
was a bowl of porridge. George Pig was very hungry. So he
ate it all up. Yummy, yummy, yum.
But just as he finished, Baby Bear walked in, and said, ""Oy,
did you eat my magic porridge?""
George said, ""Yes!""
Baby Bear said, ""that was magic porridge. It will make you
go very big.""
And then George Pig began to grow. He grew and he grew
and he grew until he was taller than all of the trees in the
forest.
The end.
Are you sleepy, George?
No.
Not even a little bit?
No!
OK, I'll do a bit more story.
Baby Bear said, ""there is a box of golden treasure at the
end of the world. But it's too far for me to go because I am
too little.""
George said, ""I will carry you there.""
So George Pig walked to the end of the world. He walked
and he walked and he walked. Are you sleepy yet?
No.
He walked through forests, then across mountains, across"
197,"No!
He walked all the way to the end of the world and found a
big box of golden treasure.
Woo!
And a big dragon!
Grr…
Yes! A big green dragon, with little wings, and breezing fire.
Roar!!!!
Luckily it was a very friendly dragon. And he said, ""you can
have the treasure.""
But then, George Pig began to shrink. He shrank and he
shrinked and he shrunk until he was the same little George
Pig as he was before.
""How will we get back home now?"" said Baby Bear.
""I can fly you home."" said the dragon.
So George Pig and Baby Bear hopped on the dragon's back
and flew all the way back home to the little house in the
forest. And then it's the end.
George is asleep. Peppa is asleep.
Peppa, what are you doing out of bed? Night time is for
sleeping, not playing.
Night-night, my little piggies. Sweat dreams.
Peppa and George are in their little beds, fast asleep.
18 Lost Keys
Peppa and her family have been for a lovely day out in the
mountains.
Time to go home. Back to the car.
Thank you for visiting the Mountain Beauty Spot. See you
again soon.
Key! Key!
No, George. You can't play with the car keys. You might
lose them.
You're playing with the car keys, Daddy.
But I'm a grown-up. I'm not going to lose them.
Oh dear. Daddy Pig has dropped the car keys down a drain.
Oh!
Right! Let's go home.
Erm…that might be difficult.
Why?
Daddy dropped the car keys down the drain.
Oh, Daddy Pig!
Don't worry. I'll get the car keys out of the drain with a
stick.
Hooray!

The stick is not long enough to reach the keys.
What we need is a fishing rod. Then we can catch the keys
on a hook.
Maybe Miss Rabbit sells fishing rods.
Erm…do you sell fishing rods.
We do, actually. I don't know why. You don't get fish in the
mountains.
We are not fishing for fish. We are fishing for keys.
My Daddy dropped the car keys down the drain.
Oh, you'll never get those back. That drain's really deep.
What are drains for?
A drain takes the rain water away to the sea.
The fishing line is not long enough to reach the keys.
My goodness! How deep is this drain?
We can see how deep it is by dropping a stone.
Good idea, Miss Rabbit.
We can count how long the stone takes to reach the
bottom.
One, two, three, four, five, six.
That, is deep!
Told you!
What can we do now?
It is Mr. Bull and his friends.
Digger! Train!
George loves diggers and trains.
Hello, everybody.
Hello, Mr. Bull. Welcome to the Mountain Beauty Spot.
Have you come to do some work?
No, it's our day off. So we came to enjoy the Beauty Spot.
You can see for miles, boss.
Yes, it's very pretty.
Erm…Mr. Bull, could we borrow your crane for a minute?
What for?
My Daddy dropped the car keys down the drain.
Say no more. I'll听不出来 that in no time. Mr. Rhino, the
crane please.
Stand clear. Down she goes!
How lucky Mr. Bull came along when he did! (我感觉这句
话的语法有问题)
Yes, now we'll finally get our keys back.
That's the furthest she goes, chief.
Mr. Bull is the chief.
Did you find our keys?
No. The crane isn't long enough.
Now, what shall we do?
Easy! We'll dig up the road."
198,"Stop!
What's going on?
We came to see the beauty spot.
Erm…they're digging it up now. Won't be long.
My Daddy dropped the car keys down the drain.
Oh!
Hold it! Hold it!
It's the keys. We've got them.
Hooray!
There you go!
Thank you, Mr. Bull.
Oh, it was nothing.
Er…where's the beauty spot gone?
The Mountain Beauty Spot is now a big hole.
It's a cave now. Welcome to the Cave Beauty Spot. Woo!
All thanks to my daddy!
Err…and Mr. Bull.
Yes, I'm good at digging holes.
Mr. Bull loves digging holes. Everybody loves digging holes.
19 George's New Dinosaur
George is playing with his favourite toy, Mr. Dinosaur.
George loves playing with Mr. Dinosaur.
Mr. Dinosaur is made of plastic. It is almost impossible to
break him.
Dinosaur! Grr…
George loves playing with Mr. Dinosaur in the bath.
At night time, George always takes Mr. Dinosaur to bed
with him.
Dinosaur! Grr…
George, Mr. Dinosaur is broken.
Oh.
Mr. Dinosaur does not have a tail anymore.
Poor George.
You have had Mr. Dinosaur a long time.
I'm surprised he lasted as long as he did.
Maybe it's about time you got a new dinosaur.
Yes, we can go to Mr. Fox's shop tomorrow.
This is Mr. Fox's shop.
Mr. Fox's shop sells everything.
I'm sure we'll find you a lovely new dinosaur here, George.
Dinosaur!
George does not want a new dinosaur.
Look, George. A big dinosaur.
Oh! Dinosaur!

We'd like the dinosaur at the window, please.
Certainly!
Good choice. This is the Dino Roar. It roars, it walks, and it
sings a dinosaur song.
Dino Roar! Dino Roar! Listen to the Dino Roar! Roar!
Wow!
Dino Roar!
We'll take it.
Roar!
George is playing with Dino Roar in the garden.
Don't play too roughly with Dino Roar, George. He has
moving parts and might get broken.
George cannot play with Dino Roar in the garden. George
wants to play with Dino Roar in the bath.
George, if you get Dino Roar wet, he'll stop working.
George cannot play with Dino Roar in the bath.
It is night time. George has taken Dino Roar to bed with
him.
Roar!
Ah!
George! Dino Roar has woken me up. (Dino Roar is singing
at the same time.)
Maybe Dino Roar should sleep somewhere else.
George cannot have Dino Roar in his bed at night.
It is morning.
Why is George looking so sad?
George cannot play with Dino Roar in the garden, in the
bath, or in bed.
Never mind, George. Dino Roar can still roar.
Dino Roar! Dino Roar! Listen to the Dino Roar! Roar!
Oh!
I think the batteries must run out, Daddy Pig.
Already? How many batteries are in here?
Hundreds and thousands.
Dino Roar needs lots of batteries to make him roar.
Oh, what's this?
A trumpet?
It doesn't work.
Dinosaur!
That's not a trumpet, Peppa. You found Mr. Dinosaur's tail.
Oh!
Now, Daddy Pig can mend him.
I'll try. Mmm…I think it might be quite difficult to mend.
Oh.
Daddy Pig has mended Mr. Dinosaur.
Hooray!"
199,"Dinosaur! Grr…
Dinosaur! Dinosaur! Hello, Mr. Dinosaur!
Grr…
Mr. Dinosaur is George's favourite toy in the whole world.
20 Grandpa Pig's Train to the
Rescue
Grandpa Pig is taking Peppa and George for a ride on his
little train, Gertrude.
I love Gertrude the train.
And the good thing is, Gertrude has rubber wheels, so we
don't have to go on train tracks.
We can go wherever we like.
Grandpa's little train goes Toot, Toot, Toot. Toot, Toot, Toot.
Toot, Toot, Toot.
Grandpa's little train goes Toot, Toot, Toot, all day long.
Miss Rabbit is taking the grown-ups to work in her big
train.
Morning Grandpa Pig. I'll 不确定 your toy train again.
Gertrude is not a toy. She's a miniature locomotive.
Oh, that's nice. Bye.
Go faster, Grandpa Pig.
I can't! This is as fast as Gertrude goes.
The big train is going very fast. Oh dear! The big train has
broken down.
What's happening? We need to get to work.
Hello, Miss Rabbit. Having trouble with your train?
It's not funny, Grandpa Pig. All of my passengers need to
get to work.
You need to get yourself a train that doesn't break down,
like Gertrude.
That's a good idea. 不确定 you get.
What?
I'm borrowing your train.
All change.
What am I going to do?
You can stay here and mend the big train.
Righto! I do like mending things.
Woo what fun! Riding a toy train.
Gertrude is not a toy. She's a miniature locomotive.
Of course! All aboard the toy train.
Can't it go any faster?
No, Gertrude is a slow train.
Mrs. Cow is waiting for the train at the next station.

No, this is a toy train.
Gertrude is not a toy. She's a miniature locomotive.
Off we go!
Grandpa Pig loves mending things.
So many interesting bits and bulbs.
Oh, dear! A traffic jam.
Gertrude can ride on the grass.
Of course!
Bye everyone.
Miss Rabbit is taking a shortcut. Pass the duck pond.
Hello, ducks.
Up the hill.
Hello, Gertrude. You can make it.
And to the next station.
Hello! Where's the big train?
The big train is broken. We're riding Grandpa Pig's toy train
today.
Gertrude is not a toy train. She's a miniature locomotive.
Next stop! The end of the line.
This goes here! And that goes there!
Grandpa Pig has mended the train.
Good as new.
Last stop! Now you can all do your important work.
Hang on! It's taken so long to get here. It's home time.
Oh, back we go then.
But if we travel on Gertrude, it'll take ages to get home.
Hello, everyone. I've mended the big train.
Excellent, Grandpa Pig. All change.
Off we go.
Stop! What about Gertrude? We can't leave her behind.
Yes, Gertrude!
Don't worry! We can take the toy train as well.
Gertrude is not a toy.
We know! She's a miniature locomotive.
Gertrude is the best train in the whole wide world.
21 The Pet Competition
Peppa and her friends are at playgroup.
Children, tomo we will have a pet competition.
Woo!
Bring your pets to school. The best pet will win a prize.
I'm going to bring my pet gold fish.
I'm going to bring my sticky insect.
I'll bring my gecko.
I'm going to bring Monkey."
200,"That's not a real monkey. It's a doll.
It's not a doll. It's Monkey.
Oooh! Oooh! Oooh! Oooh! Oooh!
He likes you, Danny.
Zo&euml; can bring Monkey if she wants to.
Home time, children. Don't forget your pets for the
competition tomorrow.
It is the evening before the pet competition.
Peppa and Susie are getting Goldie the fish ready.
Eat up, Goldie. You've got a big day tomorrow.
I will polish your bowl.
Ha! Ha!
Lovely.
Pedro is talking to his sticky insect. A sticky insect is an
insect that looks like a stick.
Tomorrow you will come with me to playgroup.
They will decide who is the best pet. And it will be you.
Edmond Elephant is talking to his gecko.
Watch me! Brrr…
Now, you do it. Brrr…
Ha! Ha! Ha!
Zo&euml; Zebra is talking to her monkey.
Are you excited about the competition, Monkey?
Oooh! Oooh! Oooh!
Remember to be good tomorrow. Don't be a cheeky
monkey.
It is the day of the pet competition.
Madame Gazelle, who is going to decide which pet is the
best?
Doctor Hamster!
Hello, everyone.
Hello.
Ah! What lovely pets you've got! That's a happy little fish.
What's its name?
It's Goldie. You've met her before.
She's got a very shiny bowl.
What is Goldie like doing?
She likes swimming around and going like this.
Wonderful! And who is this?
This is my sticky insect.
What's his name?
Steven.
What does he do?
He looks like a stick.
Amazing! Oh! What kind of animal is this?
It is a gecko.

Edmond Elephant is a clever-clogs.
Right! And what does he do?
This!
Brrr…
Brrr…
Oh! Who's next?
Oooh! Oooh! Oooh! Oooh! Monkey!
Is he meant to be upside down?
Yes, he's asleep.
Ah, I see. Well, it's lovely. I've brought my pet too, Tiddles
the Tortoise. He likes climbing trees and…
Who is the winner?
Yes, who's won the prize?
Now, the prize goes to…Tiddles the Tortoise!
Doctor Hamster has picked her own pet to win the prize.
That's not fair. It's your own pet.
Oh, no! This is only the prize for the best tortoise.
The prize for the best fish goes to Goldie the fish!
Hooray!
The prize for the best gecko goes to the gecko.
Hooray!
The prize for the pet who looks most like a stick goes to
Steven.
Hooray!
The prize for the best monkey…
Doctor Hamster, he's not a real monkey. He's just pretend.
The prize for the best pretend monkey goes to Monkey.
Hooray!
But Doctor Hamster, we choose the best pet of all.
All of them. They're all happy healthy pets. They're all （这
一句应该是非英语，所以不确定）
22 Spider Web
Daddy Pig is hard at work in the study.
Daddy Pig, this study is a complete mess.
It's not that bad.
There are lots of cobwebs.
I love cobwebs. They give the room character.
Cobwebs mean spiders and I don't like spiders.
I do. Spiders catch flies and flies are horrid.
Well, as long as I don't have to see a spider.
Ah~~~~
A spider! Hello, Mr. Skinny Legs! Oh! Where have you
gone?
Find it. I don't want it in the house."
201,"Mr. Skinny Legs is not in the filing cabinet.
Oh!
Mr. Skinny Legs is not under the chair.
Ooh!
Mr. Skinny Legs is not on the table.
Oh!
I wonder where Mr. Skinny Legs is?
Ah~~~
Oh-oh! It sounds like Mummy has found him.
Don't be scared, Mummy.
Get rid of it.
OK, we'll take Mr. Skinny Legs into the garden.
Now, Mr. Skinny Legs has got the whole garden to play.
Bye-bye, Mr. Skinny Legs!
It is starting to rain.
Mr. Skinny Legs is running back to the house.
Maybe he doesn't like the rain.
He's climbing up the water spout.
Eensey Weensey spider climbed up the water spout.
Down came the rain and washed the Weensey out.
Out came the sun shining and dried up all the rain.
Eensey Weensey spider climbed up the spout again.
I don't want Mr. Skinny Legs in the house, Daddy Pig.
Let's take Mr. Skinny Legs a bit further into the garden.
There we are! A nice tree for you to live in.
What is he doing?
He's making a web, Peppa. Spiders live in webs and use
them to catch flies.
Oh, he's very busy.
Yes. It's hard work building a web. That's why you must
never ever break one. If you do, the spider has to do all
the work again.
Yes, Daddy. Bye-bye, Mr. Skinny Legs.
It is bed time.
I liked watching Mr. Skinny Legs making his web today.
And tomorrow, he will make another web.
Really?
Yes, Mr. Skinny Legs makes a new web every day.
Where will the new web be, Daddy?
I don't know. We'll find out tomorrow. Good night!
Night-night.
It is morning. Daddy Pig is getting ready to go to work.
I don't want to be late. I have an important meeting at the
office.
Daddy, you work very hard.
Yes, I do. But not as hard as Mr. Skinny Legs.

What is it?
You cannot drive the car today.
Why not?
Look!
Mr. Skinny Legs has built a web, joining the car to the
house.
Daddy, you said ""you must never ever break a web.""
Did I?
Yes, Daddy Pig.
If you move the car, you will break the web.
But how am I going to get to work?
Don't worry, Daddy. You can borrow my little bicycle.
Here you are!
Thank you, Peppa.
Daddy Pig is riding Peppa's little bicycle.
Have a nice ride to work!
I will, Peppa. Bye!
Bye!
Woo! Daddy Pig works very hard.
Woo!
But Mr. Skinny Legs works even harder.
23 The Noisy Night
Peppa's family are having a sleepover at Cousin Chloé's
house.
Hello, everyone.
Hello.
You must be tired after a long journey.
Yes. An early night would be nice.
First, we'll put baby Alexander to bed.
This is baby Alexander's bedroom
Alexander likes noise. It sends him to sleep.
We like noise in this house.
We're a noisy family.
Peppa, George, you're staying in my room tonight.
Oh, goodie.
Peppa and George are excited to be sleeping in Cousin
Chloé's bedroom.
Good night!
Good night!
Good night!
Good night!
Good night!
Night-night.
Everyone is tucked up in their beds. Asleep!"
202,"Peppa and George are awake.
What's that noise?
It's the vacuum cleaner.
Erm…why are you vacuuming at night?
We are not disturbing you, are we?
What? Oh, no!
We found noise is the best way to get baby Alexander back
to sleep. He likes noise.
We're a noisy family.
Everyone is back in their beds. Asleep!
Baby Alexander is awake.
Why is Aunty Pig playing a trumpet?
To get Alexander to sleep. The more noise, the better.
Is there another way that doesn't use noise?
We do find noise is the best way.
When George was a baby, we used to put him in his pram
and wheel him around the house.
And that always sent him to sleep.
How strange!
No loud noises?
That's right. How many times around the house was it,
Mummy pig?
Three time?
Fifty times.
Daddy Pig is pushing baby Alexander around the house,
fifty times.
Good, baby Alexander is asleep.
Can you let me back in?
I'll just switch the alarm.
Switch the alarm back on.
Peppa, what are you doing up?
I can't sleep, Daddy. It's a noisy night.
OK, Peppa. Let's get you back to bed.
Now, which bedroom are you staying in?
Stop, Daddy. That's baby Alexander's room.
Ah!
The light has woken baby Alexander.
That's all right. I've got the vacuum cleaner.
I've got the trumpet.
Stop! Stop! I remember another quiet way we used to get
George to sleep.
Oh, yes. We drove him around in the car.
I'll get the car started.
Don't forget the alarm!
Daddy Pig has set off the noisy house alarm. The noisy
house has woken everyone up.

Yes, thank you.
All right, cheerio.
All that loud noise has sent baby Alexander to sleep.
He's really fast asleep now.
All thanks to my noisy daddy.
Well done, Daddy Pig. We should have you to stay more
often.
24 The Wishing Well
Grandpa Pig is showing Peppa and George around his
garden.
Here are my cabbages, broccoli, and sprouts.
Woo!
Potatoes, carrots and beetroots live here. And over there,
is the fruit.
What is this, Grandpa?
That, Peppa, is a weed.
What is a weed?
A weed is a cheeky plant, growing in the wrong spot.
Oh!
Pull it out and throw it in this bucket. There's no room for
weeds in my tidy garden.
Grandpa Pig is very proud of his garden.
Maybe there's room to grow a little strawberry here.
In the middle of my carrots? No, Peppa. Strawberries
belong with the fruit. Everything has its place. Isn't that
right, Granny Pig?
Yes, Grandpa. Can we find a little place for this?
Er…no!
What is it, Granny?
It's a plastic gnome, Peppa. And he's going to live in our
garden.
Oh, no! He isn't. There's no room.
There's plenty of room. What about here?
I can't have that ugly thing looking at me all day!
Peppa, George, do you think my gnome looks ugly?
No, Granny. I think he looks cute.
There, Grandpa. You are outnumbered. The gnome stays.
Ah! And here come the rest of them.
What?
Mr. Bull is bringing Mr. Gnome a truck load of new friends.
Yippee!
But gardens are for plants, not plastic.
Where do you want the gnomes?
We don't want gnomes, thank you!Oh!"
203,"Naughty Grandpa Pig. Those are Granny Pig's gnomes.
Oh. It appears we do want gnomes.
I'll quit the gay. （这里听不清楚）
They are lovely.
Here is this as well. Cheerio!
Thanks you, Mr. Bull. Goodbye.
Bye-bye.
What's this? A giant gnome?
No, Grandpa.
It's a well.
What is a well?
A well, Peppa, is a very deep hole with water in it. Woo!
And as it happens, I do need water for my garden. So a
well will be useful. But that is not a well.
It's made of plastic and there's no hole.
It's beautiful.
What's the point of a well without water?
It's a wishing well. You throw a coin into it and make a
wish.
Can I make a wish, Granny?
Of course, Peppa. Here's a little coin.
I wish! I wish! I wish!
Oh, don't tell us what you are wishing for. OK.
Finished!
Very good.
Granny, do the wishes always come true?Yes.
Oh, goodie!
But now it's time for grandpa to take you home.
Bye-bye, Granny. Bye-bye.
Goodbye, my little ones.
Grandpa, you are very lucky having a wishing well in your
garden.
Do you think so, Peppa?
Yes, you can wish for things whenever you want.
Mm…
And the wishes always come true because Granny Pig said
so. Yes.
Do you want to know what I wished for, Grandpa?
What did you wish for, Peppa?
I wished that I could have a wishing well and gnomes in my
garden.
Oh, well, I think we can do that.
Peppa and George have arrived home.
Mummy, Daddy, I made a wish. And it came true.
Really? What did you wish for, Peppa?
Lots of gnomes and a wishing well for our garden. Oh!

Er…yes! I suppose so!
Peppa and George love gnomes and wishing wells.
Everybody loves gnomes and wishing wells.
25 Mr. Potato's Christmas Show
It is Christmas time and Peppa and her playgroup are going
to the theatre to see Mr. Potato's Christmas Show.
We are here!
Look! It's the Christmas vegetable family, Mr. Potato!
Mrs. Carrot!
Sweat Cranberry and Little Sprout.
Here are your tickets. Find the seat with your number on
it.
Here's my seat. Number Five.
Six!Seven!Eight!Nine!Ten!
Quickly now, children! The show is about to begin.
Erm…Madame Gazelle, I need a toilet.
Oh, Pedro!
Sorry! Er…sorry! Thank you!
Quickly, Pedro!
I've never been to the theatre before.
It's exciting, isn't it?
Sorry! Er…thank you!
Shhhh…children, everyone quiet now.
What's that music?
The show is starting.
Oh, sorry everyone.
It is not the start of the show. It is Madame Gazelle's
phone ringing.
Wow! Whose phone is that?
That really is the show starting!
Welcome to the Mr. Potato's Christmas Show, where the
magic of vegetables never ends.
Woo!
Hello, children! I'm Mr. Potato. This is Mrs. Carrot. Here is
Sweat Cranberry. And here is everyone's favourite
Christmas vegetable, Little Sprout.
He he he!
Ha ha ha!
Where is Little Sprout gone?
Er Little Sprout. Where are you?
He's lost!
Oh~~~~
Can you help us find him, boys and girls?
Yes! He he he!"
204,"Sprout"".
There's Little Sprout!
That's it! When you see him, shout out that!
There he is! He is behind you!
Where?
There! Behind you!
I can't see him.
They are not very good at looking, are they?
Boo!
There you are! You cheeky little sprout!
I'm the magic Fairy Carrot. Look, children. I can fly.
There's a string lifting her up.
I can grant you one wish. What do you wish for?
I wish we had a Christmas tree!
Your wish is my command!
Woo!
Now, we can sing our Christmas song. Would you like to
hear it, boys and girls?
Yes!
Sweat little sprouts on the Christmas tree. Potatoes,
carrots and cranberry!
He's a very special Christmas good, all our friends, where
the magic of vegetables never ends.
That's the end. Goodbye children. Happy Christmas!
Happy Christmas everybody!
That was a bit quick.
Wait, there's one more surprise.
A very important person has come to see you all. Ho! Ho!
Ho!
Can you guess who it is? Ho! Ho! Ho!
It's the Queen!
It's Father Christmas! Hooray!
Hello, children! Have you been good? Yes!
Have you been cleaning your teeth? Yes!
Have you kept your bedrooms tidy? Oh~~~
Very good! Ho! Ho! Ho!
Merry Christmas!
Now, let's all sing a Christmas song! Yes!
Sweat little sprouts on the Christmas tree. Potatoes,
carrots and cranberry!
He's a very special Christmas good, all our friends, where
the magic of vegetables never ends.

26 Madame Gazelle's Leaving
Party
It is home time at Peppa's playgroup.
Children, next week, there won't be any playgroup.
Why, Madame Gazelle?
I am going away. Oh!
Goodbye, children.
Goodbye, Madame Gazelle.
Peppa and George are home from playgroup.
Mummy, there is no more playgroup.
No more playgroup?
Madame Gazelle is going away.
I suppose she has been teaching a long time.
Madame Gazelle taught all the mummies and daddies
when they were children.
Madame Gazelle taught me everything I know.
Who can count to three?
One! Two! Three! Hee! Hee! Hee!
Thinking about it, Madame Gazelle must be very old.
Which is probably why she decided to stop teaching.
I know! We should give Madame Gazelle a leaving party.
That sounds fun.
It is the day of Madame Gazelle's leaving party. Everyone
has come to help.
Pedro, you stay outside and tell us if Madame Gazelle's
coming along.
Why?
We don't want Madame Gazelle catching us getting her
party ready.
Or it wouldn't be a surprise! OK!
I hope we invited everyone.
What about Madame Gazelle's old friends?
Wasn't she once in a pop group?
That's right! She played guitar!
With that Rocking Gazelles.
Hello, Rocking Gazelles.
Hello, Madame Gazelle is leaving the playgroup.
Gigi leaving? How sad!
We are having a party.
A party? What fun! We'll be there!
Good. Everyone's coming. Now, let's make the party food.
This is the playgroup kitchen. Everyone is helping with the
party food.
Emily Elephant and Wendy Woof are decorating cupcakes."
205,"I'll sprinkle the hundreds and thousands. (这一句话怎么
也听不出来)
Peppa and George are making jelly.
Wobbly jelly!
Wobble, wobble, wobble.
Pedro Pony is outside, keeping guard.
Here comes Madame Gazelle.
Madame Gazelle is coming.
We are not ready. Stop her, Pedro. OK!
Hello, Pedro. You are early for playgroup.
Yes! Don't go inside!
Why not?
It's a nice day outie, isn't it?
Er…yes, Pedro. Can I go inside now?
Oh, no! It's against the law.
What are you talking about, Pedro?
We're ready.
You can go in now.
Surprise!
For she's a jolly good fellow,
For she's a jolly good fellow,
For she's a jolly good fellow,
And so say all of us.
Hooray!
Here is a present for you! An antique clock.
Woo!
It's made of solid plastic.
Thank you. But why is there a party for me?
Everyone wanted to thank you for being the best teacher
in the world.
So we've made you a leaving party.
Because you are going away forever!
I'm not going away forever.
But you said there was no more playgroup.
Oh, Peppa. All I said was no playgroup next week! I'm
going on holiday.
Oh!
I will be teaching for many years to come. Who else could
be the teacher?
No one!
I'm very happy. Madame Gazelle is not leaving.
Yes, and I can't think of a better reason for a party.
And every party needs music.
Oh, ha ha. The rocking Gazelles!
Hello, Gigi. Have you still got your guitar?
Of course! Let's Rockty Rock!

27 The.Queen
The Queen
Peppa and her family are watching television.
And now a special message from the queen.
The queen!The queen!
This is the queen.
Hello to all!
Hello Queen!
Today I have decided to give an award to the hardest
working person in the country.
I wonder who that will be.
It certainly won't be you, Darling!
The hardest working person in the country is Miss Rabbit.
Miss Rabbit runs the ice-cream store, the recycling center,
the library, Shhhh!
She drives the train, the fire engine, flies a rescue
helicopter and works the supermarket check-out.
Phew! What a long day!
Surprise!
Ah, what are you all doing here?
Miss Rabbit, I have a very special letter for you.
Open it!
Miss Rabbit,
Please come to my palace to get a medal for all your hard
work. Bring friends.
All the best!
The Queen.
Miss Rabbit has fainted.
I can't visit the Queen. I've got too much work to do.
Relax! No one will be working that day.
The Queen has made it a holiday.
Hooray!
It is the day Miss Rabbit visits the Queen. Peppa and her
friends are going too.
We're off to(被我的头指正的地方) see the Queen.
We're off to see the Queen.
ee-ye-yo dio （这个我在网上找了半天，才找到这个接
近点的，希望能有网友发现这个到底怎么写，呵呵。）
We're off to see the Queen.
Here we are!
This is the Queen's Palace.
Hello! Is anybody there?
Look at all the fancy(不确定，从意思上应该是这样，但听
起来怎么也不像) stuff!
Don't touch anything!"
206,"What a big house!
Lots of room for a Queen to kick a ball about.
Where is the Queen?
Queen? Queen? Where are you?
Hello! Have you seen the Queen today?
She's an old lady with a crown on her head.
I am the Queen.
Miss Rabbit has fainted again.
Hello, Mrs. Queen!
Why aren't you wearing a crown?
I don't (不确定) wear it much, because it's very heavy.
Are you the boss of all the world（? 这里怎么听都是work，
不过应该是world）
Not quite.
Do you tell people what to do?
Sometimes.
Can you make teachers disappear?
Oh, so many question!
The children are very excited to meet you, Your Majesty!
I'm excited to meet all of you! And now, for Miss Rabbit's
medal!
This is the Queen's award for industry!
Thank you!
Keep up the good work. Three cheers for Miss Rabbit!
Hippip!
Hooray!
Hippip!
Hooray!
Hip! Hip! Hip!
Hooray!
Now for the party!
To the garden.
You've got a lovely big garden, Your Majesty!
Do you play in it all the time?
I don't have much time for playing no.
That's sad.
Oh, dear! A muddy puddle! Never mind, we can walk
around it.
You cann't walk around a muddy puddle!
No?
No! You have to jump in it.
Oh, I see. That does look fun. Here one goes then.
Stop!
Ah???
If you jump in muddy puddles, you must wear your boots,
Your Majesty!

The Queen loves jumping up and down in muddy puddles.
Everyone loves jumping up and down in muddy puddles.
And some great news, the new Peppa Pig book is now
available to buy at all the retailers.
Peppa Pig!
28 Desert.Island
Peppa and George are in Danny dog’s house.
Captain Dog istelling stories of when he is a sailor.
I sailed all aroundthe world, and then I came home again.
But now I’m backfor good and I’ll never get on the boat
again.
Daddy, do you missthe sea?
Well, sometimes.
It is granddaddog, grandpa pig and Gramp rabbit.
Can captain dog come out to play?
What?
We’re going on ourfishing trip.
On a boat.
On the sea.
Ok. Let’s go.
But daddy, you said you’ll never get on the boat again.
Oh, yes. So I did.
Ok, bye-bye.
Bye. Well, therethey go off on a boat, without me.
What are you goingto do now, daddy?
Oh, I don’t know.
Maybe I’ll cleanthe seaweed of the house.
We don’t get seaweedson houses.
No, of course not.
We’ll take my boat.
Are you sure yourboat’s safe, grandpa rabbit?
Of course it’s safe,I built it myself.
We don’t need thebit.
Off we go.
I love goingfishing.
Me too.
And what do youneed for a fishing trip?
Fishing rods?
No, the picnicbasket.
It’s very good ofyou to steer at the boat, Gramp rabbit.
But I’m not steeringthe boat. I thought somebody else
was.
Oh, dear. No oneis steering the boat.
We’re lost at sea."
